OrbitalSpeed;SurfaceSpeed;TerminalVelocity;Altitude;Mass;Thrust;SpecificImpulse;SurfaceGravity;AerodynamicForce
174.9662409603983;0.0031458610853353623;254.70431518554688;82.15039020217955;49758.08984375;0.0;0.0;9.81335163116455;3.085453413717199e-05
174.9662385169202;0.0031225852937911405;240.3075408935547;82.15039020217955;49758.08984375;0.0;0.0;9.81335163116455;3.1772800303791784e-05
174.9662483921956;0.0031311369933398887;274.5316162109375;82.15039054455701;49758.08984375;0.0;0.0;9.81335163116455;3.110457650678724e-05
174.96624829310585;0.003130668255495033;238.06027221679688;82.15039054455701;49758.08984375;0.0;0.0;9.81335163116455;3.175207314098396e-05
174.9662408722313;0.003121638124822908;242.5651397705078;82.15039020217955;49758.08984375;0.0;0.0;9.81335163116455;3.1028948788059486e-05
174.9662368943884;0.0031312029643540936;327.30078125;82.15039054455701;49758.08984375;0.0;0.0;9.81335163116455;3.1305435816250085e-05
174.9662380317819;0.003119411363717187;226.67266845703125;82.15039020217955;49758.08984375;0.0;0.0;9.81335163116455;3.080514447135335e-05
174.96624542128356;0.0031386390820140452;254.4830780029297;82.1503905437421;49758.08984375;0.0;0.0;9.81335163116455;3.210389168257318e-05
174.9662437614921;0.003112284450773434;272.2579345703125;82.15038987027947;49758.08984375;0.0;0.0;9.81335163116455;3.15266844237091e-05
174.96625216233394;0.0031340015127179753;234.5662384033203;82.15039053396322;49758.08984375;0.0;0.0;9.81335163116455;3.2047666689952634e-05
174.96625026329735;0.0031186785714526397;253.0687713623047;82.15039020217955;49758.08984375;0.0;0.0;9.81335163116455;3.1016241552927186e-05
174.96625073080952;0.0031190549396103995;242.61158752441406;82.15039054455701;49758.08984375;0.0;0.0;9.81335163116455;3.148361453045091e-05
174.96624893756524;0.0031363383726806544;231.9140625;82.15039087564219;49758.08984375;0.0;0.0;9.81335163116455;3.136571775929328e-05
174.96624537976825;0.003114775699487622;231.08030700683594;82.1503905437421;49758.08984375;0.0;0.0;9.81335163116455;3.168219894933448e-05
174.96624370450442;0.0031182177957017414;293.2916259765625;82.1503908764571;49758.08984375;0.0;0.0;9.81335163116455;3.1079605155692814e-05
174.96624996466662;0.0031251387316569646;245.42564392089844;82.15039054455701;49758.08984375;0.0;0.0;9.81335163116455;3.21486966539472e-05
174.96639445690823;0.03734816065806642;248.24290466308594;82.17911838786677;49698.8828125;1380684.0;285.34136962890625;9.81335163116455;0.12412853940391096
175.00005989628715;3.652188031043993;657.6679077148438;82.60195523523726;49195.6015625;1380689.75;285.342529296875;9.81335163116455;12.549550409488779
176.3747640663149;22.475577995046727;654.259765625;96.09904843184631;48692.3203125;1380961.25;285.398681640625;9.81335163116455;545.1401920440868
179.7830024478552;41.58894303566121;652.2911987304688;128.94707741448656;48189.04296875;1381642.5;285.5394287109375;9.81335163116455;1886.3966254400505
185.2006761927322;60.99027405295557;650.570556640625;181.44080263609067;47685.76171875;1382730.125;285.76422119140625;9.81335163116455;4057.779383944052
192.5445802540853;80.67722609314025;650.6254272460938;253.87270133569837;47182.48046875;1384216.5;286.0714111328125;9.81335163116455;7042.9408703873605
201.68765120352944;100.64792160723572;652.2431030273438;346.5330010277685;46679.20703125;1386088.75;286.4583435058594;9.81335163116455;10773.832929749511
212.4792730949518;120.90537962336622;654.7227172851562;459.71188684366643;46175.92578125;1388328.75;286.9212646484375;9.81335163116455;14793.491126466573
224.76736071968477;141.4623100807158;658.6112670898438;593.7078166464344;45672.64453125;1390914.375;287.4556579589844;9.81335163116455;18790.378613755704
238.40886383318025;162.3348221406325;664.5693969726562;748.8343696738593;45169.3671875;1393820.375;288.0562438964844;9.81335163116455;22741.466151531695
253.2734729289662;183.5356906272642;672.3447875976562;925.4208233933896;44666.08984375;1397018.5;288.7171630859375;9.81335163116455;26939.850776848267
269.23875292708817;205.0681597609278;682.0742797851562;1123.8047908752924;44162.80859375;1400478.0;289.43212890625;9.81335163116455;31860.522371538053
286.1924110478264;226.9297201446198;694.196044921875;1344.3226209058193;43659.53125;1404167.0;290.1944885253906;9.81335163116455;37231.01683704735
304.04985989715584;249.13070014476688;708.8533935546875;1587.3143713689642;43156.25;1408052.5;290.99749755859375;9.81335163116455;42540.945583993685
322.7468036246995;271.6875363597747;726.5304565429688;1853.1344606438652;42652.96875;1412101.5;291.8343200683594;9.81335163116455;47606.13294168963
342.2333979509716;294.6209485100368;748.0247802734375;2142.155670337379;42149.6953125;1416282.25;292.6983337402344;9.81335163116455;52194.119439151145
362.4937890179151;317.9795688866753;780.3198852539062;2454.785562018631;41646.4140625;1420563.875;293.58319091796875;9.81335163116455;55204.88049219366
383.50909339991915;341.79112298857416;824.2489013671875;2791.4714632119285;41143.1328125;1424917.625;294.48297119140625;9.81335163116455;56467.595023968875
405.29957479860536;366.1170409522987;864.6521606445312;3152.7120890733786;40639.85546875;1429316.25;295.39202880859375;9.81335163116455;58138.2431053049
427.7840993566904;390.9020983913987;882.224365234375;3539.0092266976135;40136.578125;1433734.25;296.3050842285156;9.81335163116455;62836.68328110425
450.93418097126334;416.1476144985015;910.3112182617188;3950.8214136509923;39633.29296875;1438147.25;297.21710205078125;9.81335163116455;65990.18903189228
474.7788924592122;441.91074370360315;949.8013916015625;4388.647782551823;39130.015625;1442532.25;298.1233215332031;9.81335163116455;67404.11790522838
499.35354302438543;468.24960539509055;1001.41455078125;4853.046378853731;38626.734375;1446868.0;299.0194091796875;9.81335163116455;67098.69616851027
