OrbitalSpeed;SurfaceSpeed;TerminalVelocity;Altitude;Mass
174.96629702556194;0.003112938629257819;345.9402770996094;82.28969796549063;49758.08984375
175.38215699485585;12.302922280958562;657.323486328125;86.61379015282728;49422.5703125
177.6558985705481;30.990458474337913;654.2500610351562;108.86440745228902;48919.29296875
181.90748596846464;49.961986511513196;653.2262573242188;150.32427999051288;48416.01171875
188.07633492826037;69.21564577188639;652.7164916992188;211.28212602809072;47912.73046875
196.07128060657055;88.74924602981243;652.9085083007812;292.0245411017677;47409.453125
205.76506096839697;108.56165739992718;654.470703125;392.8362162464764;46906.17578125
217.0049303708102;128.66076518449262;657.9268188476562;514.0045112635707;46402.89453125
229.6463477877181;149.06138144781198;662.711181640625;655.8294880684698;45899.6171875
243.5618952164813;169.77804677693032;669.064208984375;818.626270166249;45396.33203125
266.1110578297292;200.85887036102534;673.6083374023438;1097.289637671085;44655.515625
300.2661914834237;244.13452702531035;684.0250244140625;1551.8590023783036;43648.9609375
337.7260245116362;288.8154302471267;740.35302734375;2096.1112430570647;42642.40234375
378.15373733230996;335.17588166730746;803.2447509765625;2733.2370562710566;41635.83984375
421.50726764775067;383.3322287695656;855.3763427734375;3466.797174284933;40629.28515625
467.5352608066281;433.32146423176897;925.11328125;4300.457155281911;39622.7265625
516.4292962575522;485.5980878392181;1042.10693359375;5238.3985151161905;38616.16796875
568.478647739579;540.5692965187012;1213.0794677734375;6285.721914053196;37609.609375
623.9063623097747;598.5429125779852;1424.62060546875;7448.279754678835;36603.05078125
682.5943472244807;659.4650644818119;1580.943603515625;8732.208445300348;35596.4921875
744.5196081275947;723.3567965760527;1792.616943359375;10143.459826378617;34589.93359375
809.8056910720939;790.3863262759563;2062.35302734375;11688.314155471511;33583.375
878.4467906696051;860.5824254031537;2398.03857421875;13373.177664275514;32576.814453125
950.6735907299928;934.2043551401447;2825.1494140625;15204.743927343516;31570.2578125
1026.7794891514402;1011.5735874356214;3387.892578125;17190.351890658843;30563.69921875
1106.9387853203955;1092.8819778941674;4117.89990234375;19337.86091251066;29557.138671875
1191.294266611625;1178.284500125989;5055.30078125;21655.465607029968;28550.58203125
1280.020949231816;1267.968994953047;6299.1591796875;24151.704951427877;27544.0234375
1373.326365485611;1362.15276795999;7942.80078125;26835.534613841795;26537.46484375
1463.3293071843125;1452.900362922868;10054.0576171875;29475.35798649839;25612.435546875
1515.8396676539246;1505.8180862395245;11808.2734375;31036.509823414613;25091.88671875
1567.925263027917;1558.3097453204196;13450.103515625;32599.62295829726;24588.609375
1621.3896237227932;1612.1428694133836;15012.791015625;34216.96744186245;24085.330078125
1676.2669202285135;1667.3728161991962;17370.78125;35889.93933906418;23582.05078125
1732.599283495922;1724.0578536155153;19928.390625;37619.99361663335;23078.771484375
1790.4633173732398;1782.2517474819256;22321.892578125;39408.64168146555;22575.4921875
1849.9156986603764;1842.017758804712;24974.5078125;41257.45496415801;22072.20703125
1895.8224247411283;1888.160998945217;27889.255859375;43166.233052187716;21677.4765625
1887.1406516471834;1879.4997496960673;31802.830078125;45087.56812644121;21677.4765625
1878.3502634576378;1870.7306525316283;36478.5703125;47037.50249861088;21677.4765625
1869.9358959618744;1862.3378461981304;33941.0703125;48948.5217737311;7458.0830078125
1861.5855964063267;1854.0086500537961;39315.26171875;50806.49581839354;7458.0830078125
1853.1227460617006;1845.567664276372;45847.59765625;52693.06480625912;7458.0830078125
1844.7127802136783;1837.1798932098866;53155.23046875;54571.038799109054;7458.0830078125
1836.3540374860777;1828.8436680143222;61809.2109375;56440.47054347338;7458.0830078125
1828.0452598108623;1820.5577272257624;72665.8125;58301.411327812006;7458.0830078125
1819.7852624579332;1812.32088235652;86836.0546875;60153.911234216765;7458.0830078125
1811.5727609635444;1804.1318442593774;104468.4140625;61998.01904795284;7458.0830078125
1803.406863134024;1795.9897180661221;128723.0546875;63833.78243298107;7458.0830078125
1795.286989604251;1787.8939236557742;172989.84375;65661.24832732417;7458.0830078125
