OrbitalSpeed;SurfaceSpeed;TerminalVelocity;Altitude
174.96626769259402;0.0031302692054069707;346.5663146972656;82.19539693545084
174.96625488696148;0.0031349268273501447;343.43792724609375;82.19539690203965
174.96622850690324;0.003118186622831148;337.2872009277344;82.19539755932055
174.9662602662441;0.0031380873354748613;336.0714111328125;82.1953968682792
174.96625353771975;0.0031302290273925817;339.90155029296875;82.1953968682792
175.00610493090264;3.968532504543357;661.888671875;82.69222372269724
176.3836127456582;22.52748319242101;658.43994140625;96.3747668400174
179.6603527722095;40.999090955266745;655.7540893554688;128.30825828399975
184.94890867868284;60.120454243263964;653.8912353515625;180.05502029822674
192.1249880383515;79.52293610395816;654.4078979492188;251.45201954676304
201.05344623335515;99.20538829989903;656.6629638671875;342.78538290131837
211.59111858640645;119.17004036506383;659.1578369140625;454.34104078938253
223.60322546956976;139.42869503128108;663.04833984375;586.4124570712447
236.67589719875724;159.59047393816982;668.6099853515625;736.1071875883499
251.20188727203333;180.4751083386863;676.1467895507812;909.730856049573
266.8188006427853;201.6879838862233;685.4537963867188;1104.827583897626
283.42076040804966;223.22648634605525;697.35498046875;1321.7307441709563
300.56576302956404;244.66670053863038;711.3735961914062;1555.8735920483014
318.51078734466813;266.4418848186373;728.0282592773438;1811.6259103924967
337.59013063452954;289.0169343716659;748.619873046875;2095.112281173351
357.4311875045782;311.9986445406588;781.2979125976562;2401.8309094720753
378.01320341344604;335.41573632247326;816.9991455078125;2732.2155968899606
399.3594208843578;359.3339118649371;864.5861206054688;3086.741613118327
420.97712296336255;383.24533546923766;884.7451782226562;3458.2435942413285
443.67253572820107;408.0732668344247;909.0568237304688;3862.0326460327487
466.5765970962941;432.89237320333683;944.1851196289062;4282.729301466141
490.63798282916804;458.7509690251796;991.5904541015625;4737.684119815589
515.4423463017148;485.214753928242;1052.6009521484375;5219.324006852577
541.0317087830246;512.3430725567241;1129.7181396484375;5728.297168118646
567.4441017106038;540.18780771385;1223.03076171875;6265.309388428344
594.703935843195;568.7843042094019;1328.3292236328125;6831.111546538188
622.810388886546;598.139958567968;1430.8084716796875;7426.4771329198265
651.7255443850797;628.2225257824063;1506.12890625;8052.167079721927
681.4187471079222;659.006846178104;1579.9508056640625;8708.904268173035
711.9169076294395;690.5272883521728;1677.89697265625;9397.418699660222
743.2555334530674;722.8266695406621;1790.6392822265625;10118.485987049527
775.4397190795117;755.9153142795706;1916.001708984375;10872.908638343448
808.4527864091698;789.7801270810183;2055.37548828125;11661.484597348142
842.2974819940891;824.4276763296032;2211.194091796875;12485.006674484466
876.9979326137709;859.8863769249006;2386.549560546875;13344.28640206356
912.5915495791292;896.1978126219088;2584.796142578125;14240.17188511428
949.1213640956266;933.4086004184031;2809.373046875;15173.556900072494
986.6230484535882;971.5574306798471;3064.751708984375;16145.380323037156
1025.1190220004808;1010.6691681371301;3362.817138671875;17156.612010807963
1064.6287222913875;1050.7652452299096;3702.046630859375;18208.245501391124
1105.1693948590776;1091.864767179623;4086.023681640625;19301.29459646088
1146.7586029123509;1133.986986270319;4518.9775390625;20436.792545024655
1189.4162493270333;1177.153321738708;5014.1630859375;21615.793127038283
1233.166160015806;1221.3891090662557;5588.18603515625;22839.374051062856
1278.0333976625348;1266.7207939878085;6246.2734375;24108.639691761695
1324.0439087866691;1313.1755515354816;6991.4140625;25424.72166399611
1371.227072843188;1360.7839364748622;7877.275390625;26788.7806213859
1418.6570761956002;1408.6134699851154;8911.5146484375;28173.820869660005
1468.2659573509768;1458.6131623009603;10139.580078125;29636.45565595897
1518.1439907688111;1508.8588871581787;11508.4853515625;31120.54288588697
1570.326080868845;1561.4011239408162;13076.302734375;32686.7341485949
1623.8724806124276;1615.2934367259234;14901.435546875;34307.21152650379
1678.8335787639633;1670.5870481124116;17062.478515625;35983.37818758085
1735.2633467672833;1727.3366682959734;19544.734375;37716.691428286606
1793.2190577329116;1785.6002454431582;22096.265625;39508.666068128776
1852.762869866385;1845.4406072960878;24877.29296875;41360.87824326521
1913.9631108326757;1906.926678128278;27927.896484375;43274.97150095017
1975.6431317386814;1968.8771005513918;31507.275390625;45213.26197721588
2040.34893496316;2033.8492252554083;35808.625;47255.047754447674
2106.949875558311;2100.707408558672;40935.703125;49364.072056324454
2175.5384979025093;2169.5446822239123;47305.140625;51542.30628022703
2244.808456766038;2239.0505178692424;55003.2421875;53747.01379686571
2317.637120038971;2312.1121450359888;64624.49609375;56068.523517059046
2392.7772957097204;2387.4779518776145;77504.6171875;58465.73725361121
2432.5734670548927;2427.415389518106;97364.6953125;60932.24723945174
2424.3701150612274;2419.2520499892753;126659.859375;63403.74386201962
2416.229389472047;2411.15176415021;186147.046875;65866.9278592224
2408.1504402866844;2403.11376980305;417118.46875;68321.8623992576
2400.1320570346747;2395.136674887873;inf;70768.63311365305
2392.17240866846;2387.2187309450915;inf;73207.33302961348
2384.2701149381837;2379.358556056144;inf;75637.96442603774
2376.424391512142;2371.5553395443862;inf;78060.58510939777
