OrbitalSpeed;SurfaceSpeed;TerminalVelocity;Altitude;Mass;Thrust
174.966205804624;0.003142333686656577;206.54803466796875;82.24624362436589;49758.08984375;0.0
175.17196220390673;8.672120626646786;659.2256469726562;84.43507831566967;49521.25390625;1380724.625
177.05784647096436;27.30380736046703;656.0577392578125;102.95318183605559;49017.97265625;1381103.25
180.92546750257947;46.21989306998984;654.201416015625;140.6237720537465;48514.69140625;1381885.25
186.73240580290351;65.41850274028154;652.84228515625;197.7360242153518;48011.41796875;1383066.625
194.40083932979925;84.89715972809634;652.2876586914062;274.57682065991685;47508.13671875;1384638.375
203.79036737193505;104.65479305090835;654.8527221679688;371.43097859225236;47004.859375;1386586.625
214.74535846473574;124.69716251395107;657.9093627929688;488.58515693002846;46501.57421875;1388892.75
227.1314888432013;145.03777567216738;662.2398681640625;626.3364722068654;45998.296875;1391534.25
240.81929815806257;165.69176317606835;668.3060913085938;784.9969363634009;45495.01953125;1394486.0
255.67761163851867;186.67032023382782;676.4186401367188;964.8926312766271;44991.73828125;1397719.125
271.58985527473754;207.97529387501987;686.5558471679688;1166.356494436157;44488.4609375;1401203.625
288.4565475587495;229.60562235128467;699.0256958007812;1389.7200515825534;43985.1796875;1404908.0
306.1994486884248;251.57263639367548;714.043212890625;1635.3203853742452;43481.90234375;1408800.0
324.75558651419266;273.89368394231565;732.4014282226562;1903.509276411729;42978.62109375;1412847.5
344.0814586795772;296.59059921363206;756.200927734375;2194.658527336782;42475.34375;1417019.375
364.1666252386096;319.7108665070067;786.8569946289062;2509.1763006582623;41972.0625;1421285.875
384.9944694216006;343.2827590219788;833.1275634765625;2847.5043792109936;41468.78125;1425619.0
406.581898948508;367.3613577570306;870.8823852539062;3210.140469692764;40965.50390625;1429992.375
428.8445530141401;391.88715574817286;888.3539428710938;3597.5738038080744;40462.2265625;1434381.25
451.7631347415616;416.87099053210824;917.4794921875;4010.2565115394536;39958.9453125;1438761.75
475.3676528469184;442.3692866314288;957.79833984375;4448.68518494477;39455.66796875;1443111.625
499.6922638806143;468.43750100897023;1009.9136352539062;4913.413353366312;38952.38671875;1447410.5
524.7761969356869;495.1341318728767;1077.05712890625;5405.052251591347;38449.10546875;1451639.125
550.6617433994577;522.5178233665998;1160.6680908203125;5924.273901443812;37945.828125;1455778.875
577.3826826021791;550.6347861045996;1259.253662109375;6471.8045057524;37442.55078125;1459812.5
604.9544511413395;579.5100355630959;1365.386474609375;7048.407121099881;36939.26953125;1463722.0
633.3625203779242;609.1364401824734;1458.92919921875;7654.85471790249;36435.9921875;1467489.75
662.5600442032937;639.472401358495;1528.734619140625;8291.892681670492;35932.7109375;1471098.375
692.5408575884442;670.5180070363963;1609.2884521484375;8960.238874366856;35429.43359375;1474529.25
723.3436523474854;702.3196494872454;1714.421630859375;9660.639400144224;34926.15234375;1477717.0
754.9928171805706;734.9083589224789;1831.7659912109375;10393.884314161493;34422.875;1480629.625
787.4824589544746;768.2827235135561;1962.1561279296875;11160.778581848135;33919.59375;1483273.5
820.7995271171801;802.4331574495003;2107.276123046875;11962.116658526938;33416.31640625;1485655.875
854.9552802715738;837.3749491238392;2270.04052734375;12798.695963518927;32913.0390625;1487786.0
889.9796992603128;873.1424190694535;2453.39697265625;13671.340171510237;32409.755859375;1489674.875
925.9132774238184;909.7800106116218;2660.996337890625;14580.913906860165;31906.478515625;1491339.5
962.7986819113739;947.3337904820612;2896.062255859375;15528.328859516769;31403.19921875;1492789.125
1000.6650313240452;985.8356461410589;3166.2978515625;16514.5375719656;30899.91796875;1494038.625
1039.5336931701681;1025.309212111245;3478.677734375;17540.519287528703;30396.638671875;1495110.5
1079.4227988594564;1065.7745634397177;3833.60400390625;18607.275666107656;29893.361328125;1496019.5
1120.3495077234884;1107.2506296795982;4234.20849609375;19715.827980630333;29390.08203125;1496778.25
1162.3319575625462;1149.7571517284734;4687.17822265625;20867.21705845918;28886.80078125;1497407.25
1205.3915471110174;1193.3170718457952;5209.58984375;22062.505332310917;28383.5234375;1497931.875
1249.5528872597959;1237.9564585015098;5813.33056640625;23302.780495625222;27880.2421875;1498365.5
1294.8412547077164;1283.7019149423181;6502.22021484375;24589.157187585835;27376.962890625;1498715.25
1341.2832307980557;1330.5812417907982;7286.28271484375;25922.777652316727;26873.685546875;1498993.125
1388.910824254589;1378.6275905163882;8235.810546875;27304.814847336267;26370.40625;1499215.5
1437.7590421604227;1427.8771016470068;9355.134765625;28736.477716187248;25867.125;1499394.125
1487.8639328642025;1478.3668196068447;10647.970703125;30219.01240112621;25363.84765625;1499533.875
1539.263890290565;1530.1360238782004;12109.15234375;31753.703872944927;24860.56640625;1499640.875
1592.0010017255393;1583.2276896056349;13763.40625;33341.87896642182;24357.2890625;1499722.875
1646.122724905006;1637.6901123404514;15724.970703125;34984.91101304721;23854.009765625;1499788.75
1701.6810418054436;1693.5760520785104;18020.111328125;36684.22514574451;23350.73046875;1499840.125
1758.731306111814;1750.9415778183961;20557.548828125;38441.3020202684;22847.451171875;1499879.0
1817.332279024101;1809.8461449727965;23187.94921875;40257.68118097505;22344.171875;1499908.25
1877.5488607299303;1870.3552858989817;26038.580078125;42134.96579783189;21840.892578125;1499930.75
1879.8004801638253;1872.6708333611616;29601.685546875;44048.532714965986;21761.947265625;0.0
1871.1448114794691;1864.0380354954275;33757.8125;45954.01487793913;21761.947265625;0.0
1862.5471384636912;1855.4635885031016;38523.4609375;47850.708004118875;21761.947265625;0.0
1854.6728455211485;1847.6110051062335;43647.12890625;49590.90840860922;21761.947265625;0.0
1846.3354402464297;1839.2978482483084;41002.35546875;51478.26156578644;7458.09033203125;0.0
1837.8893397997747;1830.8759379479015;47753.65234375;53349.75440912496;7458.09033203125;0.0
1829.4954108680008;1822.5065355610323;55878.0625;55212.667772521614;7458.09033203125;0.0
1821.1520148155264;1814.1879949654356;65066.2578125;57067.05375437986;7458.09033203125;0.0
1812.8578304344333;1805.9189892229676;76713.1796875;58912.96291022841;7458.09033203125;0.0
1804.6116451490602;1797.6983018862682;91846.453125;60750.44455836457;7458.09033203125;0.0
1796.4123108606532;1789.5247808656868;110574.734375;62579.54676134803;7458.09033203125;0.0
1788.2590670388477;1781.397663724713;139005.796875;64400.3166188522;7458.09033203125;0.0
1780.1513813075105;1773.3164177879703;194310.078125;66212.80059724033;7458.09033203125;0.0
1772.0886472256816;1765.2804356590077;348760.0625;68017.04460783768;7458.09033203125;0.0
1764.0700265390267;1757.2888764315232;3026895.5;69813.09382150776;7458.09033203125;0.0
1756.250840436206;1749.4965151159754;inf;71566.08103622613;7458.09033203125;0.0
1748.3172977848549;1741.5906337862364;inf;73346.11082762398;7458.09033203125;0.0
1740.4256184260591;1733.726918586575;inf;75118.07520807092;7458.09033203125;0.0
1732.5752870665317;1725.9048536269195;inf;76882.01636148605;7458.09033203125;0.0
1724.7657972953546;1718.1239319371477;inf;78637.97595152433;7458.09033203125;0.0
1716.9966513312954;1710.383655170934;inf;80385.99513070262;7458.09033203125;0.0
1709.2673597494506;1702.6835333755212;inf;82126.11455223395;7458.09033203125;0.0
1701.5774413797953;1695.02308486807;inf;83858.37437369744;7458.09033203125;0.0
1694.0760720534745;1687.5508983942846;inf;85549.07663798635;7458.09033203125;0.0
1686.4627391180445;1679.967628154568;inf;87265.8879982658;7458.09033203125;0.0
1678.8873922488522;1672.4226426417301;inf;88974.95660388377;7458.09033203125;0.0
1671.3495812211763;1664.9154911926046;inf;90676.32073418086;7458.09033203125;0.0
1663.8488631084042;1657.445730470667;inf;92370.01821047044;7458.09033203125;0.0
1656.3848022509712;1650.0129244223542;inf;94056.08640848158;7458.09033203125;0.0
1648.9569700202587;1642.6166440457177;inf;95734.5622664881;7458.09033203125;0.0
1641.5649447052176;1635.2564672611322;inf;97405.48228981916;7458.09033203125;0.0
1634.2083113413198;1627.9319787812506;inf;99068.8825580132;7458.09033203125;0.0
1627.0288081718516;1620.7865041332277;inf;100692.40173316794;7458.09033203125;0.0
1619.741058534679;1613.5314953564089;inf;102341.01536300103;7458.09033203125;0.0
1612.4875028114782;1606.3109759898905;inf;103982.21430460457;7458.09033203125;0.0
1605.267751604625;1599.124556368083;inf;105616.0330120736;7458.09033203125;0.0
1598.0814215240628;1591.9718528723945;inf;107242.50554544188;7458.09033203125;0.0
1591.0680803962866;1584.991765142405;inf;108829.98741606658;7458.09033203125;0.0
1583.9468290268298;1577.904723921369;inf;110442.010653003;7458.09033203125;0.0
1576.857891089269;1570.8502905146897;inf;112046.78695812437;7458.09033203125;0.0
1569.938973571847;1563.9654865914154;inf;113613.0932796942;7458.09033203125;0.0
1562.9129705514006;1556.9745706320775;inf;115203.61354192044;7458.09033203125;0.0
1555.9182230457495;1550.0152041366994;inf;116786.98283150094;7458.09033203125;0.0
1548.9543867045;1543.087042647849;inf;118363.23263634497;7458.09033203125;0.0
1542.0211223745816;1536.1897469262553;inf;119932.39409579302;7458.09033203125;0.0
1535.1180958946636;1529.3229827420982;inf;121494.49800630391;7458.09033203125;0.0
1528.244978184855;1522.4864209664831;inf;123049.57482911856;7458.09033203125;0.0
1521.401445066036;1515.6797373907177;inf;124597.6546915631;7458.09033203125;0.0
1514.5871769295416;1508.9026123998046;inf;126138.7673922003;7458.09033203125;0.0
1507.8018591514185;1502.1547313776227;inf;127672.9424064986;7458.09033203125;0.0
1501.045181418111;1495.4357840371376;inf;129200.2088955288;7458.09033203125;0.0
1494.3168380673694;1488.7454647699567;inf;130720.5957046065;7458.09033203125;0.0
1487.6165278053359;1482.0834723532878;inf;132234.13136866887;7458.09033203125;0.0
1480.9439537207004;1475.449509973037;inf;133740.8441201651;7458.09033203125;0.0
1474.298823176201;1468.8432850952752;inf;135240.7618900654;7458.09033203125;0.0
1467.6808476448655;1462.2645093160315;inf;136733.91231445828;7458.09033203125;0.0
1464.5758211707619;1459.1780315964008;inf;137434.2374984261;7458.09033203125;0.0
1457.9972638206739;1452.63910677714;inf;138917.48553377716;7458.09033203125;0.0
1451.4451660269913;1446.1269360137794;inf;140394.03325698408;7458.09033203125;0.0
1445.0469622715275;1439.7681625117987;inf;141835.15022622526;7458.09033203125;0.0
1438.5464580008995;1433.3081691348698;inf;143298.50705577445;7458.09033203125;0.0
1432.0716059871397;1426.8741231882848;inf;144755.24215415271;7458.09033203125;0.0
1425.6221428648148;1420.465761573181;inf;146205.38134514773;7458.09033203125;0.0
1419.3235362544003;1414.2077376333775;inf;147620.70790505607;7458.09033203125;0.0
1412.923589865843;1407.8494786931872;inf;149057.85977980727;7458.09033203125;0.0
1406.5482685036502;1401.5161411335237;inf;150488.4911436492;7458.09033203125;0.0
1400.1973228982654;1395.207476035533;inf;151912.62677810737;7458.09033203125;0.0
1393.87050705451;1388.9232377841497;inf;153330.2912129698;7458.09033203125;0.0
1387.5675782879819;1382.6631840838713;inf;154741.50873097964;7458.09033203125;0.0
1381.2882971885335;1376.4270759484389;inf;156146.3033674379;7458.09033203125;0.0
1375.0324275469457;1370.2146775973217;inf;157544.69891492312;7458.09033203125;0.0
1368.7997362924482;1364.025756439534;inf;158936.7189253607;7458.09033203125;0.0
1362.5899935341215;1357.860083053958;inf;160322.38671756198;7458.09033203125;0.0
1356.4029722431133;1351.7174309322966;inf;161701.7253738311;7458.09033203125;0.0
1350.2384484219842;1345.597576602974;inf;163074.75774821674;7458.09033203125;0.0
1344.0962011607555;1339.500299712918;inf;164441.50646769523;7458.09033203125;0.0
1337.976012236092;1333.4253826218905;inf;165801.99393280898;7458.09033203125;0.0
1331.8776662926286;1327.372610579412;inf;167156.24232507253;7458.09033203125;0.0
1325.9198955398524;1321.4598139661339;inf;168477.90123891714;7458.09033203125;0.0
1319.8641827037172;1315.4502751183893;inf;169819.85842534062;7458.09033203125;0.0
1313.94780824155;1309.5794643912475;inf;171129.5087480055;7458.09033203125;0.0
1307.933915937538;1303.6123488150145;inf;172459.25920095434;7458.09033203125;0.0
1301.940838670778;1297.6663537068594;inf;173782.8774365288;7458.09033203125;0.0
1295.9683769216867;1291.741280302411;inf;175100.3843723049;7458.09033203125;0.0
1290.132845536925;1285.9525060640742;inf;176386.14508833177;7458.09033203125;0.0
1284.2006319608774;1280.0682895195037;inf;177691.61019700137;7458.09033203125;0.0
1278.2884543446112;1274.2044175158635;inf;178991.02515697677;7458.09033203125;0.0
1272.396122973961;1268.3607012090997;inf;180284.410095028;7458.09033203125;0.0
1266.523450532791;1262.5369541525126;inf;181571.7849433137;7458.09033203125;0.0
1260.6702520012673;1256.7329922461038;inf;182853.16944495903;7458.09033203125;0.0
1254.8363447439176;1250.948633796229;inf;184128.58315311407;7458.09033203125;0.0
1249.1353812010268;1245.296551523501;inf;185373.21110130276;7458.09033203125;0.0
1243.3391474660996;1239.5504877453288;inf;186636.85727948672;7458.09033203125;0.0
1237.561673473369;1233.8234988683237;inf;187894.58984898042;7458.09033203125;0.0
1231.8027851662953;1228.115411899535;inf;189146.4276362717;7458.09033203125;0.0
1226.174693074903;1222.5374330584525;inf;190368.01503121573;7458.09033203125;0.0
1220.4521063914547;1216.8662771813613;inf;191608.2337055863;7458.09033203125;0.0
1214.7475990507785;1211.2135201847925;inf;192842.6126645042;7458.09033203125;0.0
1209.061005188775;1205.578997404133;inf;194071.17004104995;7458.09033203125;0.0
1203.3921609242852;1199.9625461582089;inf;195293.92379891605;7458.09033203125;0.0
1197.740904288799;1194.3640057154792;inf;196510.89173398272;7458.09033203125;0.0
1192.10707531494;1188.7832173827908;inf;197722.09147785523;7458.09033203125;0.0
1186.4905158129652;1183.2200242835227;inf;198927.54049729882;7458.09033203125;0.0
1180.8910694673518;1177.6742714362038;inf;200127.25609854178;7458.09033203125;0.0
1175.308581842495;1172.1458057831558;inf;201321.25542771653;7458.09033203125;0.0
1169.7429001819128;1166.6344759646436;inf;202509.5554731076;7458.09033203125;0.0
1164.1938736580883;1161.140132610956;inf;203692.1730675958;7458.09033203125;0.0
1158.6613531209098;1155.6626280464434;inf;204869.1248871024;7458.09033203125;0.0
1153.2531947794462;1150.30873146939;inf;206017.51493549044;7458.09033203125;0.0
1147.7529289061342;1144.8641451548062;inf;207183.29492234625;7458.09033203125;0.0
1142.2687344943618;1139.4359677292005;inf;208343.457942785;7458.09033203125;0.0
1136.8004690924859;1134.0240583619768;inf;209498.02007499535;7458.09033203125;0.0
1131.3479919664248;1128.6282779663024;inf;210646.99725469458;7458.09033203125;0.0
1125.9111636383464;1123.2484888017;inf;211790.40527010662;7458.09033203125;0.0
1120.4898465065335;1117.8845549940972;inf;212928.2597660491;7458.09033203125;0.0
1115.1897563867938;1112.6410588423594;inf;214038.4270975272;7458.09033203125;0.0
1109.7987572113686;1107.308129850313;inf;215165.32907421014;7458.09033203125;0.0
1104.422867963796;1101.9906603758213;inf;216286.72333195177;7458.09033203125;0.0
1099.0619570408276;1096.6885207179905;inf;217402.62496333348;7458.09033203125;0.0
1093.7158941901591;1091.4015825792817;inf;218513.0489278956;7458.09033203125;0.0
1088.3845507205012;1086.1297192562176;inf;219618.0100470375;7458.09033203125;0.0
1083.06779928978;1080.872805443058;inf;220717.52301125298;7458.09033203125;0.0
1077.7655140116653;1075.6307173354205;inf;221811.60238117783;7458.09033203125;0.0
1072.477570298461;1070.403332471526;inf;222900.2625861955;7458.09033203125;0.0
1067.2038450144591;1065.1905298892686;inf;223983.51792681916;7458.09033203125;0.0
1061.944216293817;1059.9921899483993;inf;225061.38257859065;7458.09033203125;0.0
1056.6985636661486;1054.8081944494245;inf;226133.87058774685;7458.09033203125;0.0
1051.4667680148516;1049.6384265882552;inf;227200.99587968364;7458.09033203125;0.0
1046.2487113726427;1044.4827707657091;inf;228262.77225364582;7458.09033203125;0.0
1041.0442771568837;1039.3411128186472;inf;229319.21339052636;7458.09033203125;0.0
1035.8533499883983;1034.2133398408223;inf;230370.33284639416;7458.09033203125;0.0
1030.675815775778;1029.099340260946;inf;231416.14406007633;7458.09033203125;0.0
1025.5115615432308;1023.9990037016893;inf;232456.66035179107;7458.09033203125;0.0
1020.4613514519566;1019.0118323660165;inf;233471.64688930206;7458.09033203125;0.0
1015.3230684407674;1013.9382333872585;inf;234501.71601030068;7458.09033203125;0.0
1010.2981089858259;1008.9770692569496;inf;235506.4852765971;7458.09033203125;0.0
1005.185368372279;1003.9297898123807;inf;236526.15811295458;7458.09033203125;0.0
1000.1852436102982;998.9942277070564;inf;237520.75956431322;7458.09033203125;0.0
995.0976255336926;993.9728591594508;inf;238530.0861225631;7458.09033203125;0.0
990.1219281722168;989.0625030158084;inf;239514.56836041238;7458.09033203125;0.0
985.0590216272878;984.0666460259672;inf;240513.5977868978;7458.09033203125;0.0
980.0084396541322;979.0835221914984;inf;241507.44607445307;7458.09033203125;0.0
974.9700806645749;974.1130330946245;inf;242496.12543307978;7458.09033203125;0.0
969.9438442619527;969.155081571018;inf;243479.6479633249;7458.09033203125;0.0
964.9296309812189;964.2095714505061;inf;244458.02566103044;7458.09033203125;0.0
959.9273424428944;959.2764077405856;inf;245431.27041981684;7458.09033203125;0.0
954.9368813206132;954.3554965355354;inf;246399.39402575546;7458.09033203125;0.0
950.0556612305622;949.5428787162226;inf;247343.57457294757;7458.09033203125;0.0
945.0883396369048;944.6459593483751;inf;248301.5906813367;7458.09033203125;0.0
940.1325612721104;939.7610190020165;inf;249254.52016983146;7458.09033203125;0.0
935.1882327560403;934.8879680359117;inf;250202.3744254345;7458.09033203125;0.0
930.2552617197838;930.0267178739218;inf;251145.1647371609;7458.09033203125;0.0
925.3335567020067;925.1771809668203;inf;252082.90229753428;7458.09033203125;0.0
920.4230272334436;920.3392708122418;inf;253015.59819905588;7458.09033203125;0.0
915.5235837525754;915.5129019042373;inf;253943.2634405609;7458.09033203125;0.0
910.6351376741272;910.6979897882106;inf;254865.9089262021;7458.09033203125;0.0
905.757601323213;905.8944510243131;inf;255783.54546467902;7458.09033203125;0.0
900.8908879358002;901.1022031513279;inf;256696.183772134;7458.09033203125;0.0
896.03491159016;896.3211646580799;inf;257603.83447146066;7458.09033203125;0.0
891.1895873877731;891.5512551369409;inf;258506.5080963677;7458.09033203125;0.0
886.3548311632991;886.792395003218;inf;259404.21508730354;7458.09033203125;0.0
881.5305597619515;882.0445057849864;inf;260296.9657954818;7458.09033203125;0.0
876.7166908578112;877.3075099416034;inf;261184.77048356703;7458.09033203125;0.0
871.9131429910408;872.5813308875133;inf;262067.63932289474;7458.09033203125;0.0
867.1198354707053;867.8658929116566;inf;262945.5824030397;7458.09033203125;0.0
862.3366885723683;863.1611213645319;inf;263818.6097192246;7458.09033203125;0.0
857.5636232938575;858.4669424513141;inf;264686.7311875564;7458.09033203125;0.0
852.8938592442393;853.8750191693018;inf;265533.0776412118;7458.09033203125;0.0
848.1405298605586;849.201603904966;inf;266391.5125246213;7458.09033203125;0.0
843.3970517715672;844.5385670548986;inf;267245.07059954584;7458.09033203125;0.0
838.6633493037772;839.8858385949878;inf;268093.7614425352;7458.09033203125;0.0
834.0318822779606;835.3342806056253;inf;268921.0954327099;7458.09033203125;0.0
829.3173191296694;830.7017636623066;inf;269760.17519008147;7458.09033203125;0.0
824.6123108480093;826.0793518454865;inf;270594.415772464;7458.09033203125;0.0
819.9167848407571;821.4669787277907;inf;271423.8264332928;7458.09033203125;0.0
815.2306694401228;816.8645788647947;inf;272248.41634510807;7458.09033203125;0.0
810.5538937009646;812.2720877190299;inf;273068.1946015763;7458.09033203125;0.0
805.8863874428546;807.6894416240103;inf;273883.1702169621;7458.09033203125;0.0
801.2280812312302;803.1165777954513;inf;274693.35213004076;7458.09033203125;0.0
796.5789063933847;798.5534343950948;inf;275498.7492003471;7458.09033203125;0.0
791.9387950061038;793.9999504379224;inf;276299.370210001;7458.09033203125;0.0
787.3076800773571;789.4560660177006;inf;277095.2238670647;7458.09033203125;0.0
782.6854951354546;784.921721930767;inf;277886.3188036061;7458.09033203125;0.0
778.0721745641799;780.3968599584962;inf;278672.663574983;7458.09033203125;0.0
773.4676534826598;775.8814227875268;inf;279454.26666668546;7458.09033203125;0.0
768.8718676604652;771.3753539133326;inf;280231.1364865671;7458.09033203125;0.0
764.2847537422332;766.8785978865844;inf;281003.2813706632;7458.09033203125;0.0
759.7062490126756;762.3911000699582;inf;281770.7095826864;7458.09033203125;0.0
755.1362915183698;757.9128067485766;inf;282533.42931437783;7458.09033203125;0.0
750.5748200637631;753.4436651572092;inf;283291.4486850115;7458.09033203125;0.0
746.0217741064204;748.9836233663372;inf;284044.7757446215;7458.09033203125;0.0
741.4770939310921;744.5326304544543;inf;284793.4184715124;7458.09033203125;0.0
736.9407204827892;740.0906363708211;inf;285537.3847758317;7458.09033203125;0.0
732.4125954760838;735.6575920060257;inf;286276.6824981199;7458.09033203125;0.0
727.8926612359951;731.2334491087025;inf;287011.3194083149;7458.09033203125;0.0
723.3808609535705;726.8181604526121;inf;287741.3032112669;7458.09033203125;0.0
718.877138467369;722.4116797139781;inf;288466.641542249;7458.09033203125;0.0
714.3814383146956;718.0139614641882;inf;289187.34196843905;7458.09033203125;0.0
709.8937058503178;713.624961317042;inf;289903.41199140565;7458.09033203125;0.0
705.5016509640652;709.3304414397481;inf;290600.95349243074;7458.09033203125;0.0
701.0295389705533;704.9585791081894;inf;291307.8753820943;7458.09033203125;0.0
696.5652359932449;700.5953082103482;inf;292010.18883599085;7458.09033203125;0.0
692.1086901068945;696.2405880383941;inf;292707.901094854;7458.09033203125;0.0
687.6598502374085;691.894378991939;inf;293401.01933480415;7458.09033203125;0.0
683.2186661046859;687.556642530982;inf;294089.5506692531;7458.09033203125;0.0
678.7850880404665;683.22734099822;inf;294773.5021471749;7458.09033203125;0.0
674.3590672232707;678.9064378666473;inf;295452.88075550855;7458.09033203125;0.0
669.9405554575255;674.5938974955255;inf;296127.6934179759;7458.09033203125;0.0
665.5295054251127;670.2896854261371;inf;296797.9469963503;7458.09033203125;0.0
661.1258704780055;665.9937681816775;inf;297463.64828983205;7458.09033203125;0.0
656.7296046970808;661.7061133089629;inf;298124.80403738446;7458.09033203125;0.0
652.4266505862313;657.5105208883058;inf;298768.58966034243;7458.09033203125;0.0
648.0448462753127;653.2391373769914;inf;299420.7630941798;7458.09033203125;0.0
643.6702790123694;648.9759261607136;inf;300068.41070820135;7458.09033203125;0.0
639.9019249072275;645.3044067623874;inf;300623.53383319767;7458.09033203125;0.0
