OrbitalSpeed;SurfaceSpeed;TerminalVelocity;Altitude;Mass;Thrust;SpecificImpulse;SurfaceGravity;AerodynamicForce
174.9662754288611;0.003128130288344376;186.03465270996094;82.25945570773911;49758.08984375;0.0;0.0;9.81335163116455;0.0009091365615117255
174.99181045589782;3.246543842387099;659.7534790039062;82.6044165721396;49669.27734375;1380690.25;285.3426513671875;9.81335163116455;9.59366188371308
176.28169163776064;21.79431376732154;657.1358642578125;95.54470908700023;49165.99609375;1380950.25;285.3963928222656;9.81335163116455;512.7808418075039
179.5384055169537;40.62697532394156;655.2785034179688;127.5520941595314;48662.71875;1381613.75;285.53350830078125;9.81335163116455;1801.0263569380222
184.74444545468037;59.74283116501906;653.8331909179688;178.9162833755836;48159.4375;1382678.375;285.7535400390625;9.81335163116455;3892.7501124329715
191.66672860676735;78.75679108109352;653.4548950195312;248.34205038577784;47666.02734375;1384104.25;286.0482177734375;9.81335163116455;6721.357492922757
200.48060235189908;98.4273067035018;654.19189453125;338.8873514820589;47162.75;1385936.25;286.42681884765625;9.81335163116455;10363.974491465346
210.70706144622665;117.98491544612274;656.460205078125;447.2742197170155;46669.3359375;1388086.0;286.87109375;9.81335163116455;14253.334397401846
222.60149798841604;138.2237551454358;660.38916015625;578.1256426033797;46166.05859375;1390618.375;287.39447021484375;9.81335163116455;18202.45442083917
235.83653618795287;158.77094255726377;665.8607177734375;729.7794811879285;45662.77734375;1393469.625;287.98370361328125;9.81335163116455;22112.732737791655
250.2909724436873;179.63952342922806;673.10302734375;902.5574931668816;45159.49609375;1396612.0;288.6331481933594;9.81335163116455;26200.657977305535
265.8446183409219;200.8349404705382;682.4595336914062;1096.790907164337;44656.21875;1400016.25;289.336669921875;9.81335163116455;30874.954941844084
282.3849624423902;222.35492863798433;694.0216674804688;1312.8123295929981;44152.94140625;1403650.75;290.08782958984375;9.81335163116455;36166.535317645474
299.8268711190864;244.20671203697128;708.2547607421875;1550.9548279457958;43649.6640625;1407483.75;290.8799743652344;9.81335163116455;41410.80430181597
318.1033021315727;266.4066733117328;725.493408203125;1811.5652400662657;43146.3828125;1411482.75;291.7064514160156;9.81335163116455;46430.381312564896
337.16411838785376;288.9728463193602;745.4321899414062;2095.0081175486557;42643.1015625;1415616.625;292.5607604980469;9.81335163116455;51146.44037697744
356.98817908569544;311.94386493009455;777.1073608398438;2401.6727005511057;42139.82421875;1419854.375;293.43658447265625;9.81335163116455;54196.001086539916
377.55258012123585;335.34705890228855;812.8619384765625;2731.989824200049;41636.54296875;1424168.25;294.3280944824219;9.81335163116455;56554.18586601185
398.87884014246197;359.249343805306;858.684814453125;3086.4331051751506;41133.265625;1428530.5;295.2296447753906;9.81335163116455;57440.24325577068
420.91101171737154;383.62092976416295;878.0122680664062;3465.5070317141945;40629.98828125;1432916.625;296.1360778808594;9.81335163116455;61845.55015789014
443.59419155420306;408.43327854033896;902.6948852539062;3869.665152505855;40126.70703125;1437301.875;297.0423889160156;9.81335163116455;65446.3450280539
466.95220338409894;433.73986707568037;939.005859375;4299.383196799434;39623.4296875;1441663.875;297.94384765625;9.81335163116455;67276.56490845732
491.01801289615355;459.5972258285612;986.7520141601562;4755.194704916328;39120.1484375;1445981.25;298.83612060546875;9.81335163116455;67435.53520572733
515.8293297203793;486.0629433258127;1048.231689453125;5237.691054866184;38616.8671875;1450234.75;299.7151794433594;9.81335163116455;65859.84458884363
541.4290512639319;513.1971726443767;1125.9210205078125;5747.524109977181;38113.58984375;1454405.625;300.5771484375;9.81335163116455;62675.8080843358
567.8551233966643;541.0517847068166;1219.594970703125;6285.403785799863;37610.30859375;1458475.75;301.4183349609375;9.81335163116455;58451.75861749266
595.1307441565195;569.6607171181295;1324.6009521484375;6852.084334172658;37107.02734375;1462428.0;302.235107421875;9.81335163116455;54055.42350196537
623.2533280316677;599.0293823656068;1425.8294677734375;7448.340815127478;36603.75;1466244.5;303.02386474609375;9.81335163116455;50746.4349448724
652.183043361787;629.1235125149476;1499.95458984375;8074.933528269059;36100.47265625;1469907.875;303.78094482421875;9.81335163116455;49738.75597780103
681.8914237555709;659.920202934151;1573.890869140625;8732.584733146592;35597.1953125;1473400.25;304.5027160644531;9.81335163116455;48870.686584549745
712.407049976321;691.4555118772716;1672.5113525390625;9422.026244965498;35093.9140625;1476678.125;305.1801452636719;9.81335163116455;46700.47895764421
743.7648735639833;723.771746724936;1785.4423828125;10144.036070688977;34590.63671875;1479682.5;305.801025390625;9.81335163116455;44152.04511164382
775.9690040505211;756.8782040074832;1910.954345703125;10899.418224371388;34087.35546875;1482415.0;306.3657531738281;9.81335163116455;42419.63314124828
809.0024104187127;790.7613279360912;2050.404052734375;11688.971194230136;33584.07421875;1484884.25;306.8760681152344;9.81335163116455;41423.77831930701
842.8684095195939;825.4282514433329;2206.365966796875;12513.488518230035;33080.796875;1487097.375;307.3334655761719;9.81335163116455;40319.14986654827
877.591778247436;860.9080733232729;2381.8427734375;13373.783147849957;32577.515625;1489065.5;307.7402038574219;9.81335163116455;38582.895451662225
913.2104213230028;897.242824221796;2580.229736328125;14270.705150815193;32074.236328125;1490804.0;308.0995178222656;9.81335163116455;36004.39997231164
949.7676836176015;934.479459952505;2804.982177734375;15205.15071449359;31570.95703125;1492324.75;308.41375732421875;9.81335163116455;32646.533318968388
987.2987160925746;972.6561398258632;3060.65478515625;16178.061043008463;31067.6796875;1493638.875;308.68536376953125;9.81335163116455;29141.1516304121
